"Stage","SeqNr","Timestamp [µs]","Phase","Width [µs]","Vprim [mV]"
A,435,14420629,0,82,2454
A,436,14420696,1,85,2050
B,437,14477150,0,157,2533
B,438,14477296,1,155,1946
A,437,14486712,0,74,2393
A,438,14486773,1,75,2037
B,439,14541038,0,165,2416
B,440,14541193,1,162,1949
A,439,14552780,0,64,2515
A,440,14552832,1,67,2018
B,441,14604952,0,173,2436
B,442,14605114,1,172,1953
A,441,14618453,0,63,2594
A,442,14618504,1,64,1978
B,443,14668877,0,179,2555
B,444,14669046,1,179,1962
A,443,14684109,0,63,2555
A,444,14684160,1,65,2007
B,445,14732803,0,188,2474
B,446,14732982,1,185,1949
A,445,14749758,0,63,2522
A,446,14749808,1,65,2050
B,447,14796351,0,196,2546
B,448,14796537,1,194,1967
A,447,14815403,0,62,2445
A,448,14815453,1,65,2018
B,449,14859915,0,204,2542
B,450,14860106,1,204,1980
A,449,14881049,0,63,2526
A,450,14881097,1,67,2028
B,451,14923504,0,212,2492
B,452,14923703,1,212,1987
A,451,14946703,0,62,2422
A,452,14946754,1,64,2025
B,453,14989837,0,210,2546
B,454,14990036,1,208,1967
A,453,15012348,0,63,2535
A,454,15012402,1,62,1971
B,455,15058506,0,203,2402
B,456,15058698,1,200,1856
A,455,15077996,0,63,2555
A,456,15078047,1,64,2018
B,457,15127165,0,194,2555
B,458,15127349,1,191,1928
A,457,15143644,0,63,2513
A,458,15143696,1,63,2012
B,459,15195805,0,185,2546
